energy,hr,day,month,year,date,diff,ma3,ma7,diff_filled
959275,21,27,8,2025,2025-08-27,147,147,147,147
959300,22,27,8,2025,2025-08-27,25,25,25,25
959400,1,28,8,2025,2025-08-28,100,100,100,100
959454,3,28,8,2025,2025-08-28,54,54,54,54
959501,5,28,8,2025,2025-08-28,47,47,47,47
959584,7,28,8,2025,2025-08-28,83,83,83,83
959658,9,28,8,2025,2025-08-28,74,74,74,74
959688,10,28,8,2025,2025-08-28,30,30,30,30
959716,11,28,8,2025,2025-08-28,28,28,28,28
959723,12,28,8,2025,2025-08-28,7,7,7,7
959768,13,28,8,2025,2025-08-28,45,45,45,45
959793,14,28,8,2025,2025-08-28,25,25,25,25
959812,15,28,8,2025,2025-08-28,19,19,19,19
959838,16,28,8,2025,2025-08-28,26,26,26,26
959865,17,28,8,2025,2025-08-28,27,27,27,27
959892,18,28,8,2025,2025-08-28,27,27,27,27
959924,19,28,8,2025,2025-08-28,32,32,32,32
959956,20,28,8,2025,2025-08-28,32,32,32,32
959986,21,28,8,2025,2025-08-28,30,30,30,30
960015,22,28,8,2025,2025-08-28,29,29,29,29
960047,23,28,8,2025,2025-08-28,32,32,32,32
960077,24,28,8,2025,2025-08-28,30,30,30,30
960105,1,29,8,2025,2025-08-29,28,28,28,28
960114,2,29,8,2025,2025-08-29,9,9,9,9
960246,6,29,8,2025,2025-08-29,132,132,132,132
960277,7,29,8,2025,2025-08-29,31,31,31,31
960370,10,29,8,2025,2025-08-29,93,93,93,93
960401,11,29,8,2025,2025-08-29,31,31,31,31
960431,12,29,8,2025,2025-08-29,30,30,30,30
960462,13,29,8,2025,2025-08-29,31,31,31,31
960489,14,29,8,2025,2025-08-29,27,27,27,27
960518,15,29,8,2025,2025-08-29,29,29,29,29
960549,16,29,8,2025,2025-08-29,31,31,31,31
960566,17,29,8,2025,2025-08-29,17,17,17,17
960593,18,29,8,2025,2025-08-29,27,27,27,27
960691,21,29,8,2025,2025-08-29,98,98,98,98
960719,22,29,8,2025,2025-08-29,28,28,28,28
960720,23,29,8,2025,2025-08-29,1,1,1,1
961083,12,30,8,2025,2025-08-30,363,363,363,363
961106,13,30,8,2025,2025-08-30,23,23,23,23
961132,14,30,8,2025,2025-08-30,26,26,26,26
961148,15,30,8,2025,2025-08-30,16,16,16,16
961168,16,30,8,2025,2025-08-30,20,20,20,20
961172,17,30,8,2025,2025-08-30,4,4,4,4
961208,18,30,8,2025,2025-08-30,36,36,36,36
961230,19,30,8,2025,2025-08-30,22,22,22,22
961269,20,30,8,2025,2025-08-30,39,39,39,39
961297,21,30,8,2025,2025-08-30,28,28,28,28
961314,22,30,8,2025,2025-08-30,17,17,17,17
961481,4,31,8,2025,2025-08-31,167,167,167,167
961523,5,31,8,2025,2025-08-31,42,42,42,42
961524,6,31,8,2025,2025-08-31,1,1,1,1
961576,7,31,8,2025,2025-08-31,52,52,52,52
961583,8,31,8,2025,2025-08-31,7,7,7,7
961633,9,31,8,2025,2025-08-31,50,50,50,50
961661,10,31,8,2025,2025-08-31,28,28,28,28
961687,11,31,8,2025,2025-08-31,26,26,26,26
961689,12,31,8,2025,2025-08-31,2,2,2,2
961751,14,31,8,2025,2025-08-31,62,62,62,62
961790,15,31,8,2025,2025-08-31,39,39,39,39
961821,17,31,8,2025,2025-08-31,31,31,31,31
961863,19,31,8,2025,2025-08-31,42,42,42,42
961869,20,31,8,2025,2025-08-31,6,6,6,6
961966,1,1,9,2025,2025-09-01,97,97,97,97
961966,2,1,9,2025,2025-09-01,0,0,0,0
961990,3,1,9,2025,2025-09-01,24,24,24,24
962001,4,1,9,2025,2025-09-01,11,11,11,11
962020,5,1,9,2025,2025-09-01,19,19,19,19
962025,6,1,9,2025,2025-09-01,5,5,5,5
962080,8,1,9,2025,2025-09-01,55,55,55,55
962105,9,1,9,2025,2025-09-01,25,25,25,25
962130,10,1,9,2025,2025-09-01,25,25,25,25
962150,11,1,9,2025,2025-09-01,20,20,20,20
962168,12,1,9,2025,2025-09-01,18,18,18,18
962194,13,1,9,2025,2025-09-01,26,26,26,26
962215,14,1,9,2025,2025-09-01,21,21,21,21
962248,15,1,9,2025,2025-09-01,33,33,33,33
962274,16,1,9,2025,2025-09-01,26,26,26,26
962306,17,1,9,2025,2025-09-01,32,32,32,32
962339,18,1,9,2025,2025-09-01,33,33,33,33
962355,19,1,9,2025,2025-09-01,16,16,16,16
962396,20,1,9,2025,2025-09-01,41,41,41,41
962418,21,1,9,2025,2025-09-01,22,22,22,22
962425,22,1,9,2025,2025-09-01,7,7,7,7
962418,21,1,9,2025,2025-09-01,-7,-7,-7,-7
962418,21,1,9,2025,2025-09-01,0,0,0,0
962418,21,1,9,2025,2025-09-01,0,0,0,0
962425,22,1,9,2025,2025-09-01,7,7,7,7
962449,23,1,9,2025,2025-09-01,24,24,24,24
962471,24,1,9,2025,2025-09-01,22,22,22,22
962478,1,2,9,2025,2025-09-02,7,7,7,7
962505,2,2,9,2025,2025-09-02,27,27,27,27
962518,3,2,9,2025,2025-09-02,13,13,13,13
962530,4,2,9,2025,2025-09-02,12,12,12,12
